system   D            wsystem.c:583  maybe_parent_dir                 [   0.00135] Also searching C:\Users\Raymund\Documents\Game Stuff\2D Game Practice\Allegro Practice\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00171] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00174] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.03861] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.12360] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.12365] Allegro version: 5.0.10
display  W   display_settings.c:654  _al_deduce_color_format          [   0.30468] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:654  _al_deduce_color_format          [   0.32140] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.32442] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.32445] al_display=00595C20
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.32447] al_display->vt=00595B58
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.33279] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.33283] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33286] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33287] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33290] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33291] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33294] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33296] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33298] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33300] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33302] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33303] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33305] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33307] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33309] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33313] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33314] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33316] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33318] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33320] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33322] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33330] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33333] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33335] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33339] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33340] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33342] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33344] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33346] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33348] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33350] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33351] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33353] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33355] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33357] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33361] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33362] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33365] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33366] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
